stock,volume
SUNS,5
TAM,1582
HOKCY,200
TAP,31143
TAO,517
GWPRF,1695
TAT,12650
TAS,8900
CSRXF,1001
VEEV,8075
TAX,305
PCTI,387
OIBR,645825
KVHI,492
TRMLF,50
NPSKY,719
ECUI,308059
GRLT,2688
BKLN,358995
HDNG,73
TBF,130846
TBI,1850
FUR.PR.D,2
TXRH,9787
UBCP,3651
SUMR,100
CWBK,200
USCI,336
CAC,108
JSDA,2121
CAB,4462
CAE,1507
TBT,172681
IGOV,458
CAG,17860
CAF,10813
USCR,16
TBX,550
CAH,77724
ZNNMF,9600
FOHL,2799
CAK,60
CAJ,19196
TBZ,200
CAM,77266
BKMU,569
ECTE,600
JJSF,480
OXLCP,50
TCB,16660
LYJN,2000
CAP,1159
SDLP,4827
RAIL,893
CAS,1233
MAUXF,103500
CAR,35266
TCC,500
BSYBY,264
CAT,325032
IPAR,2305
WRCDF,617
TCI,23
IPAS,746
KRA,1207
PEI.PR.B,350
TCK,91681
KRC,8584
SUNE,322653
CNPF,2
KRE,79730
CHRYY,1430
TCP,391
RRMS,2379
KRG,11561
TCO,8819
CBB,414322
CNRD,690
CBA,9855
GALT,600
VVIT,15000
CBD,11938
GRNH,957118
SUTNY,3342
TCS,28373
CBF,594
SUPN,11216
TCX,2130
GRNL,999
CBG,20682
KRO,5942
ROHCY,128
AHEXY,591
CBI,21308
TPCS,1205
CBL,65800
CBK,9736
SUPX,10
CBM,5202
KRU,2796
SDOG,2635
TDA,1000
CBR,3416
TDC,692972
IPDN,100
GAME,43719
CNQR,679
CBT,3683
CBS,92482
TDG,292599
TGRO,173554
TDF,26710
CBU,3680
UNCFF,2080
TDI,54
TDH,90
CBZ,5058
GAMN,250
RALY,608
JINFF,100
CCCGY,627
TDJ,1022
GGRGF,4506
HURC,8
SMAA,325565
GAMR,400
TDN,1459
SDOW,72433
CCA,316
GRMC,2500
TDS,10933
BTAL,237
CCC,1663
USEL,26
CCE,47938
KSM,3157
IPCC,1539
USEI,2499777
TDW,9141
CCG,12596
TDV,35
CCF,10
USEG,1850
CCI,746826
TDY,1430
DIDG,9847
CCH,137
KSS,1060939
CCK,8197
CCJ,47451
KSU,44639
CCM,223
KST,213
CCL,190641
GRMN,70214
CCO,7100
IPCI,23940
GALE,363528
NWBO,19360
IPCM,456
CFBK,300
CCU,8950
TEF,99818
NWBI,11002
TEG,17302
CCV,101
ELGX,8022
VEGI,403
CCX,3732
TEI,14858
TEL,45497
KTF,182
TEN,19569
USFC,320
TEP,303
KTH,34
RIOCF,191
TEO,11783
CWCO,2309
TER,77158
GDFZY,3087
GRPH,2064
CNTF,14300
RAND,9
NHC.PR.A,6293
KTN,433
IPFF,1
TEU,8695
CDE,61787
IVPAF,1060
TEX,47814
DLAKY,7155
DIGI,9840
CWEI,1327
GRPN,1030160
CDI,3116
WYNN,56521
LZRFY,1100
